Machine Module,SSA3021X Plus,3.2.2.6.2R10
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+8.000000000E+00
Attenuation,28.000000,Auto
Sweep Time,351107.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.000000000E+06
Average Type,Log Pwr
RBW,300.000000,Manual
VBW,300.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
840000,-58.82
841333,-57.65
842667,-57.85
844000,-59.71
845333,-55.58
846667,-59.66
848000,-59.15
849333,-61.81
850667,-56.30
852000,-61.31
853333,-59.05
854667,-58.28
856000,-58.65
857333,-54.59
858667,-59.79
860000,-61.47
861333,-61.80
862667,-57.40
864000,-56.53
865333,-54.61
866667,-59.41
868000,-59.79
869333,-60.14
870667,-61.07
872000,-61.18
873333,-58.85
874667,-60.04
876000,-58.25
877333,-57.63
878667,-55.50
880000,-58.55
881333,-59.32
882667,-53.91
884000,-61.27
885333,-61.78
886667,-57.86
888000,-57.49
889333,-57.64
890667,-57.26
892000,-61.49
893333,-58.56
894667,-59.20
896000,-69.29
897333,-64.35
898667,-58.38
900000,-58.31
901333,-62.00
902667,-63.83
904000,-59.47
905333,-57.29
906667,-57.67
908000,-56.92
909333,-58.95
910667,-60.52
912000,-60.51
913333,-60.27
914667,-59.35
916000,-62.20
917333,-61.11
918667,-58.12
920000,-60.11
921333,-60.80
922667,-58.06
924000,-59.24
925333,-62.29
926667,-60.55
928000,-60.45
929333,-58.92
930667,-61.76
932000,-54.30
933333,-63.12
934667,-60.56
936000,-66.66
937333,-58.68
938667,-61.17
940000,-60.96
941333,-64.34
942667,-59.07
944000,-58.74
945333,-62.21
946667,-61.05
948000,-58.64
949333,-61.66
950667,-59.87
952000,-60.58
953333,-60.87
954667,-62.67
956000,-59.99
957333,-64.14
958667,-62.31
960000,-60.95
961333,-62.65
962667,-59.46
964000,-59.53
965333,-58.40
966667,-57.31
968000,-56.93
969333,-62.27
970667,-56.13
972000,-60.17
973333,-58.57
974667,-60.43
976000,-63.06
977333,-59.45
978667,-62.45
980000,-61.10
981333,-64.65
982667,-63.84
984000,-59.06
985333,-56.66
986667,-58.13
988000,-62.52
989333,-61.39
990667,-59.74
992000,-61.59
993333,-58.19
994667,-57.15
996000,-60.25
997333,-59.51
998667,-58.20
1000000,-60.61
Trace Name,Trace B
Trace Type,View
Trace Detector,Pos Peak
Trace Data
0,2.64
1333,-58.50
2667,-52.15
4000,-48.15
5333,-45.61
6667,-43.44
8000,-41.19
9333,-42.00
10667,-42.56
12000,-42.00
13333,-41.51
14667,-41.37
16000,-41.75
17333,-41.67
18667,-42.23
20000,-40.54
21333,-42.04
22667,-42.19
24000,-42.37
25333,-42.37
26667,-41.74
28000,-40.42
29333,-41.25
30667,-42.57
32000,-41.69
33333,-42.65
34667,-41.54
36000,-42.67
37333,-42.02
38667,-38.98
40000,-41.09
41333,-41.61
42667,-41.15
44000,-40.86
45333,-41.05
46667,-42.75
48000,-42.72
49333,-40.96
50667,-41.23
52000,-40.97
53333,-37.04
54667,-33.93
56000,-42.68
57333,-42.32
58667,-41.73
60000,-41.60
61333,-41.33
62667,-41.99
64000,-42.34
65333,-43.03
66667,-42.75
68000,-43.00
69333,-42.67
70667,-43.00
72000,-42.27
73333,-42.73
74667,-42.23
76000,-41.95
77333,-42.52
78667,-43.46
80000,-42.24
81333,-40.85
82667,-41.69
84000,-42.30
85333,-41.92
86667,-43.61
88000,-43.24
89333,-42.21
90667,-42.09
92000,-41.85
93333,-42.36
94667,-43.30
96000,-42.36
97333,-41.06
98667,-41.76
100000,-41.79
101333,-42.23
102667,-43.06
104000,-43.33
105333,-42.72
106667,-43.75
108000,-42.10
109333,-43.01
110667,-41.84
112000,-43.30
113333,-42.74
114667,-42.91
116000,-42.68
117333,-42.57
118667,-42.63
120000,-43.29
121333,-43.32
122667,-42.39
124000,-42.26
125333,-43.11
126667,-42.65
128000,-43.62
129333,-43.81
130667,-43.28
132000,-43.32
133333,-43.25
134667,-43.64
136000,-43.77
137333,-42.39
138667,-43.84
140000,-43.46
141333,-43.61
142667,-43.54
144000,-42.80
145333,-42.68
146667,-42.71
148000,-43.35
149333,-41.70
150667,-43.89
152000,-43.76
153333,-44.02
154667,-43.27
156000,-42.61
157333,-43.82
158667,-43.06
160000,-44.09
161333,-42.53
162667,-42.83
164000,-42.72
165333,-43.04
166667,-43.43
168000,-42.62
169333,-43.05
170667,-43.28
172000,-43.65
173333,-43.59
174667,-43.99
176000,-42.99
177333,-43.19
178667,-42.91
180000,-43.74
181333,-44.38
182667,-43.97
184000,-42.31
185333,-43.50
186667,-43.32
188000,-43.74
189333,-44.62
190667,-43.91
192000,-43.79
193333,-43.42
194667,-43.33
196000,-43.40
197333,-44.11
198667,-43.94
200000,-43.27
201333,-44.67
202667,-43.61
204000,-43.02
205333,-43.68
206667,-44.58
208000,-44.06
209333,-44.13
210667,-43.12
212000,-43.72
213333,-44.48
214667,-44.10
216000,-44.58
217333,-43.23
218667,-44.50
220000,-44.62
221333,-44.85
222667,-44.62
224000,-43.93
225333,-44.03
226667,-44.33
228000,-44.43
229333,-44.29
230667,-44.59
232000,-44.77
233333,-43.43
234667,-44.84
236000,-44.33
237333,-44.06
238667,-44.16
240000,-44.74
241333,-44.61
242667,-45.33
244000,-44.60
245333,-43.94
246667,-44.79
248000,-45.39
249333,-44.17
250667,-44.77
252000,-44.76
253333,-43.11
254667,-44.78
256000,-44.48
257333,-45.42
258667,-44.90
260000,-44.89
261333,-45.24
262667,-44.55
264000,-45.22
265333,-45.14
266667,-45.24
268000,-43.98
269333,-44.96
270667,-44.08
272000,-44.95
273333,-44.36
274667,-45.76
276000,-44.42
277333,-44.80
278667,-45.47
280000,-45.05
281333,-45.34
282667,-45.12
284000,-44.98
285333,-45.58
286667,-45.61
288000,-45.78
289333,-45.70
290667,-44.86
292000,-45.40
293333,-44.69
294667,-44.38
296000,-45.75
297333,-44.84
298667,-45.61
300000,-46.16
301333,-45.76
302667,-45.46
304000,-45.50
305333,-44.80
306667,-46.03
308000,-45.75
309333,-45.20
310667,-45.78
312000,-46.38
313333,-45.79
314667,-45.56
316000,-45.36
317333,-45.77
318667,-45.88
320000,-46.94
321333,-46.02
322667,-44.83
324000,-45.77
325333,-45.37
326667,-45.68
328000,-46.18
329333,-45.78
330667,-46.02
332000,-46.25
333333,-45.37
334667,-45.93
336000,-45.81
337333,-46.10
338667,-46.18
340000,-46.30
341333,-45.47
342667,-45.98
344000,-46.19
345333,-46.30
346667,-46.63
348000,-46.65
349333,-46.75
350667,-46.16
352000,-46.50
353333,-46.59
354667,-46.32
356000,-45.80
357333,-46.17
358667,-45.86
360000,-45.61
361333,-46.27
362667,-47.25
364000,-46.33
365333,-46.53
366667,-47.51
